,US,CA,FR,RU,CN,FI,JP,FN,EU,4C,OL,WR
2005,11,12,11,12,11,0,11,6,24,24,0,24
2006,10,10,11,10,10,0,11,6,24,23,24,24
2007,11,12,11,12,12,0,11,6,24,23,0,24
2008,11,12,12,12,12,0,10,6,25,24,0,23
2009,11,11,10,10,12,0,12,6,24,24,0,24
2010,12,11,10,12,11,0,11,6,19,20,24,24
2011,12,11,12,10,10,0,12,6,24,24,0,24
2012,10,10,9,10,10,0,10,5,24,24,0,24
2013,10,10,10,10,9,0,9,6,24,20,0,24
2014,10,8,9,9,10,0,9,6,24,21,24,23
2015,11,12,12,11,11,0,12,6,23,19,0,24
2016,12,12,12,12,12,0,11,6,24,22,0,24
2017,11,11,12,12,12,0,11,6,24,21,0,24
2018,10,12,11,12,11,0,12,6,24,23,24,24
2019,10,11,12,9,0,11,12,6,24,21,0,0
