,name,year,event,score,event_score,skater_score,avg,baseline,baseline_event,predicted,residual
1743,"Shoma, UNO",2017,US,279.34,-4.609352759885724,26.752743367645962,283.7425,262.83064920747165,258.2212964475859,284.9740398152319,5.634039815231915
1744,"Jason, BROWN",2017,US,268.38,-4.609352759885724,-11.758589285478593,244.23333333333335,262.83064920747165,258.2212964475859,246.46270716210734,-21.91729283789266
1745,"Adam, RIPPON",2017,US,261.43,-4.609352759885724,0.0,254.02,262.83064920747165,258.2212964475859,258.2212964475859,-3.208703552414079
1746,"Sergei, VORONOV",2017,US,245.28,-4.609352759885724,-13.772388090711502,244.51999999999998,262.83064920747165,258.2212964475859,244.44890835687443,-0.8310916431255748
1747,"Boyang, JIN",2017,US,245.08,-4.609352759885724,3.904858203699405,263.71,262.83064920747165,258.2212964475859,262.12615465128533,17.04615465128532
1748,"Nam, NGUYEN",2017,US,239.26,-4.609352759885724,-26.401922618810204,229.59,262.83064920747165,258.2212964475859,231.81937382877572,-7.440626171224267
1749,"Maxim, KOVTUN",2017,US,230.75,-4.609352759885724,-22.34658277156268,239.66,262.83064920747165,258.2212964475859,235.87471367602325,5.124713676023248
1750,"Timothy, DOLENSKY",2017,US,226.53,-4.609352759885724,-31.691296447589593,226.53,262.83064920747165,258.2212964475859,226.52999999999633,-3.666400516522117e-12
1751,"Jorik, HENDRICKX",2017,US,224.91,-4.609352759885724,-28.292280570842195,232.64666666666668,262.83064920747165,258.2212964475859,229.92901587674373,5.019015876743737
1752,"Brendan, KERRY",2017,US,211.76,-4.609352759885724,-45.88750626224555,212.85,262.83064920747165,258.2212964475859,212.33379018534038,0.5737901853403855
1753,"Patrick, CHAN",2017,CA,266.95,-12.882928569420983,15.395004999973935,270.35,262.83064920747165,249.94772063805067,265.3427256380246,-1.607274361975385
1754,"Yuzuru, HANYU",2017,CA,263.06,-12.882928569420983,38.439919383088636,290.53499999999997,262.83064920747165,249.94772063805067,288.3876400211393,25.327640021139302
1755,"Kevin, REYNOLDS",2017,CA,245.06,-12.882928569420983,-22.704184922764398,233.685,262.83064920747165,249.94772063805067,227.24353571528627,-17.81646428471373
1756,"Michal, BREZINA",2017,CA,227.42,-12.882928569420983,-41.0120575017163,218.23666666666668,262.83064920747165,249.94772063805067,208.93566313633437,-18.484336863665618
1757,"Daniel, SAMOHIN",2017,CA,226.53,-12.882928569420983,-34.13560018594126,220.01999999999998,262.83064920747165,249.94772063805067,215.8121204521094,-10.71787954789059
1758,"Misha, GE",2017,CA,226.07,-12.882928569420983,-24.466314325736676,231.51333333333332,262.83064920747165,249.94772063805067,225.481406312314,-0.5885936876860001
1759,"Alexander, PETROV",2017,CA,224.39,-12.882928569420983,-27.740600185938092,226.415,262.83064920747165,249.94772063805067,222.20712045211258,-2.18287954788741
1760,"Takahito, MURA",2017,CA,222.13,-12.882928569420983,-17.27914688486635,235.27499999999998,262.83064920747165,249.94772063805067,232.66857375318432,10.538573753184323
1761,"Liam, FIRUS",2017,CA,210.89,-12.882928569420983,-39.05772063805489,210.89,262.83064920747165,249.94772063805067,210.88999999999578,-4.206412995699793e-12
1762,"Han, YAN",2017,CA,209.11,-12.882928569420983,-32.130616526455924,224.91666666666666,262.83064920747165,249.94772063805067,217.81710411159474,8.707104111594731
1763,"Grant, HOCHSTEIN",2017,CA,204.69,-12.882928569420983,-42.63073068230642,210.60333333333335,262.83064920747165,249.94772063805067,207.31698995574425,2.62698995574425
1764,"Ross, MINER",2017,CA,196.53,-12.882928569420983,-49.220600185941294,204.935,262.83064920747165,249.94772063805067,200.72712045210938,4.197120452109374
1765,"Javier, FERNANDEZ",2017,FR,285.38,-7.67007607579535,27.616843465178135,285.4925,262.83064920747165,255.1605731316763,282.77741659685444,-2.602583403145559
1766,"Denis, TEN",2017,FR,269.26,-7.67007607579535,14.099426868318915,269.26,262.83064920747165,255.1605731316763,269.2599999999952,-4.774847184307873e-12
1767,"Adam, RIPPON",2017,FR,267.53,-7.67007607579535,0.0,254.02,262.83064920747165,255.1605731316763,255.1605731316763,-12.369426868323671
1768,"Nathan, CHEN",2017,FR,264.8,-7.67007607579535,27.60670625968305,281.005,262.83064920747165,255.1605731316763,282.76727939135935,17.96727939135934
1769,"Takahito, MURA",2017,FR,248.42,-7.67007607579535,-17.27914688486635,235.27499999999998,262.83064920747165,255.1605731316763,237.88142624680995,-10.538573753190036
1770,"Jorik, HENDRICKX",2017,FR,230.47,-7.67007607579535,-28.292280570842195,232.64666666666668,262.83064920747165,255.1605731316763,226.8682925608341,-3.6017074391658923
1771,"Misha, GE",2017,FR,229.06,-7.67007607579535,-24.466314325736676,231.51333333333332,262.83064920747165,255.1605731316763,230.69425880593963,1.6342588059396235
1772,"Chafik, BESSEGHIER",2017,FR,225.02,-7.67007607579535,-35.41149857284927,225.53,262.83064920747165,255.1605731316763,219.74907455882703,-5.270925441172977
1773,"Artur, DMITRIEV",2017,FR,218.7,-7.67007607579535,-36.58476179264471,220.11,262.83064920747165,255.1605731316763,218.5758113390316,-0.1241886609684002
1774,"Brendan, KERRY",2017,FR,199.4,-7.67007607579535,-45.88750626224555,212.85,262.83064920747165,255.1605731316763,209.27306686943075,9.873066869430744
1775,"Ivan, RIGHINI",2017,FR,185.81,-7.67007607579535,-64.31777263247659,197.98000000000002,262.83064920747165,255.1605731316763,190.8428004991997,5.032800499199709
1776,"Javier, FERNANDEZ",2017,RU,292.98,-4.601698753864639,27.616843465178135,285.4925,262.83064920747165,258.228950453607,285.84579391878515,-7.13420608121487
1777,"Shoma, UNO",2017,RU,285.07,-4.601698753864639,26.752743367645962,283.7425,262.83064920747165,258.228950453607,284.981693821253,-0.0883061787470183
1778,"Alexei, BYCHENKO",2017,RU,255.52,-4.601698753864639,-16.65258159608402,241.54333333333332,262.83064920747165,258.228950453607,241.576368857523,-13.943631142477017
1779,"Mikhail, KOLYADA",2017,RU,245.3,-4.601698753864639,-17.805914929417668,240.39000000000001,262.83064920747165,258.228950453607,240.42303552418934,-4.8769644758106665
1780,"Max, AARON",2017,RU,235.58,-4.601698753864639,-19.13621509372024,239.16000000000003,262.83064920747165,258.228950453607,239.09273535988677,3.5127353598867614
1781,"Elladj, BALDE",2017,RU,225.45,-4.601698753864639,-42.19138632749309,210.385,262.83064920747165,258.228950453607,216.03756412611392,-9.412435873886068
1782,"Keiji, TANAKA",2017,RU,224.91,-4.601698753864639,-24.817807287486175,231.17666666666665,262.83064920747165,258.228950453607,233.41114316612084,8.50114316612084
1783,"Chafik, BESSEGHIER",2017,RU,223.98,-4.601698753864639,-35.41149857284927,225.53,262.83064920747165,258.228950453607,222.81745188075774,-1.1625481192422455
1784,"Gordei, GORSHKOV",2017,RU,223.51,-4.601698753864639,-34.71895045360907,223.51,262.83064920747165,258.228950453607,223.50999999999794,-2.0463630789890885e-12
1785,"Artur, DMITRIEV",2017,RU,221.52,-4.601698753864639,-36.58476179264471,220.11,262.83064920747165,258.228950453607,221.6441886609623,0.12418866096228953
1786,"Deniss, VASILJEVS",2017,RU,203.77,-4.601698753864639,-37.295914929407445,220.9,262.83064920747165,258.228950453607,220.93303552419957,17.163035524199557
1787,"Alexander, MAJOROV",2017,RU,192.14,-4.601698753864639,-58.771961293441564,205.06,262.83064920747165,258.228950453607,199.45698916016545,7.316989160165463
1788,"Patrick, CHAN",2017,CN,279.72,-4.467169473644162,15.395004999973935,270.35,262.83064920747165,258.3634797338275,273.7584847338014,-5.961515266198603
1789,"Boyang, JIN",2017,CN,278.54,-4.467169473644162,3.904858203699405,263.71,262.83064920747165,258.3634797338275,262.2683379375269,-16.271662062473126
1790,"Sergei, VORONOV",2017,CN,243.76,-4.467169473644162,-13.772388090711502,244.51999999999998,262.83064920747165,258.3634797338275,244.591091643116,0.8310916431159967
1791,"Max, AARON",2017,CN,242.74,-4.467169473644162,-19.13621509372024,239.16000000000003,262.83064920747165,258.3634797338275,239.22726464010725,-3.5127353598927584
1792,"Han, YAN",2017,CN,230.19,-4.467169473644162,-32.130616526455924,224.91666666666666,262.83064920747165,258.3634797338275,226.23286320737157,-3.9571367926284324
1793,"Alexander, PETROV",2017,CN,228.44,-4.467169473644162,-27.740600185938092,226.415,262.83064920747165,258.3634797338275,230.6228795478894,2.1828795478893994
1794,"Maxim, KOVTUN",2017,CN,221.43,-4.467169473644162,-22.34658277156268,239.66,262.83064920747165,258.3634797338275,236.0168969622648,14.586896962264802
1795,"Daniel, SAMOHIN",2017,CN,213.51,-4.467169473644162,-34.13560018594126,220.01999999999998,262.83064920747165,258.3634797338275,224.22787954788623,10.717879547886241
1796,"Ross, MINER",2017,CN,213.34,-4.467169473644162,-49.220600185941294,204.935,262.83064920747165,258.3634797338275,209.1428795478862,-4.197120452113808
1797,"Michal, BREZINA",2017,CN,211.77,-4.467169473644162,-41.0120575017163,218.23666666666668,262.83064920747165,258.3634797338275,217.3514222321112,5.58142223211118
1798,"Yuzuru, HANYU",2017,JP,301.47,-15.906827006104322,38.439919383088636,290.53499999999997,262.83064920747165,246.92382220136733,285.36374158445597,-16.106258415544062
1799,"Nathan, CHEN",2017,JP,268.91,-15.906827006104322,27.60670625968305,281.005,262.83064920747165,246.92382220136733,274.5305284610504,5.620528461050355
1800,"Keiji, TANAKA",2017,JP,248.44,-15.906827006104322,-24.817807287486175,231.17666666666665,262.83064920747165,246.92382220136733,222.10601491388115,-26.333985086118844
1801,"Alexei, BYCHENKO",2017,JP,229.87,-15.906827006104322,-16.65258159608402,241.54333333333332,262.83064920747165,246.92382220136733,230.2712406052833,0.40124060528330574
1802,"Mikhail, KOLYADA",2017,JP,225.69,-15.906827006104322,-17.805914929417668,240.39000000000001,262.83064920747165,246.92382220136733,229.11790727194966,3.427907271949664
1803,"Deniss, VASILJEVS",2017,JP,223.73,-15.906827006104322,-37.295914929407445,220.9,262.83064920747165,246.92382220136733,209.62790727195988,-14.102092728040105
1804,"Jason, BROWN",2017,JP,218.47,-15.906827006104322,-11.758589285478593,244.23333333333335,262.83064920747165,246.92382220136733,235.16523291588874,16.695232915888738
1805,"Nam, NGUYEN",2017,JP,212.43,-15.906827006104322,-26.401922618810204,229.59,262.83064920747165,246.92382220136733,220.52189958255713,8.091899582557119
1806,"Ryuju, HINO",2017,JP,207.15,-15.906827006104322,-39.773822201365874,207.15,262.83064920747165,246.92382220136733,207.15000000000146,1.4495071809506044e-12
1807,"Elladj, BALDE",2017,JP,195.32,-15.906827006104322,-42.19138632749309,210.385,262.83064920747165,246.92382220136733,204.73243587387424,9.412435873874244
1808,"Grant, HOCHSTEIN",2017,JP,191.4,-15.906827006104322,-42.63073068230642,210.60333333333335,262.83064920747165,246.92382220136733,204.2930915190609,12.893091519060903
1809,"Yuzuru, HANYU",2017,FN,293.9,-14.152518786737346,38.439919383088636,290.53499999999997,262.83064920747165,248.6781304207343,287.11804980382294,-6.781950196177036
