FUNC __main__.naive_gradient_descent 51.2695 1573183314.2313 51.2695 1573183314.2906 0
FUNC __main__.broadcast_gradient_descent 51.2695 1573183314.2908 51.5625 1573183314.2919 0
CMDLINE /home/khanhnd/anaconda3/bin/python broadcast_gradient_descent.py
MEM 1.839844 1573183313.2792
MEM 12.738281 1573183313.3797
MEM 19.132812 1573183313.4801
MEM 23.750000 1573183313.5805
MEM 30.042969 1573183313.6809
MEM 33.496094 1573183313.7813
MEM 35.796875 1573183313.8817
MEM 39.585938 1573183313.9820
MEM 41.273438 1573183314.0825
MEM 47.597656 1573183314.1829
MEM 51.269531 1573183314.2833
