CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 7.394531 1573194173.7090
MEM 13.578125 1573194173.8095
MEM 19.398438 1573194173.9099
MEM 23.777344 1573194174.0103
MEM 29.542969 1573194174.1113
MEM 36.363281 1573194174.2118
MEM 47.039062 1573194174.3130
MEM 56.878906 1573194174.4134
MEM 56.878906 1573194174.5139
MEM 56.878906 1573194174.6143
MEM 56.878906 1573194174.7147
MEM 56.878906 1573194174.8150
MEM 56.878906 1573194174.9154
MEM 56.878906 1573194175.0158
MEM 56.878906 1573194175.1162
MEM 56.878906 1573194175.2165
MEM 56.878906 1573194175.3170
MEM 56.878906 1573194175.4174
MEM 56.878906 1573194175.5179
MEM 56.878906 1573194175.6183
MEM 56.878906 1573194175.7187
MEM 56.878906 1573194175.8190
MEM 56.878906 1573194175.9208
MEM 56.878906 1573194176.0214
MEM 56.878906 1573194176.1218
MEM 56.878906 1573194176.2223
MEM 56.878906 1573194176.3228
MEM 56.878906 1573194176.4233
MEM 56.878906 1573194176.5238
MEM 56.878906 1573194176.6242
MEM 56.878906 1573194176.7248
MEM 56.878906 1573194176.8252
MEM 56.878906 1573194176.9256
MEM 56.878906 1573194177.0260
MEM 56.878906 1573194177.1264
MEM 56.878906 1573194177.2268
MEM 56.878906 1573194177.3272
MEM 56.878906 1573194177.4276
MEM 56.878906 1573194177.5280
MEM 56.878906 1573194177.6284
MEM 56.878906 1573194177.7288
MEM 56.878906 1573194177.8291
MEM 56.878906 1573194177.9297
MEM 56.878906 1573194178.0301
MEM 56.878906 1573194178.1305
MEM 56.878906 1573194178.2309
MEM 56.878906 1573194178.3313
MEM 56.878906 1573194178.4316
MEM 56.878906 1573194178.5320
MEM 56.878906 1573194178.6324
MEM 56.878906 1573194178.7328
FUNC __main__.naive_gradient_descent 51.4844 1573194174.3629 56.8789 1573194180.8014 0
FUNC __main__.broadcast_gradient_descent 51.6016 1573194180.8020 84.0039 1573194180.9470 0
MEM 56.878906 1573194178.8333
MEM 56.878906 1573194178.9337
MEM 56.878906 1573194179.0341
MEM 56.878906 1573194179.1346
MEM 56.878906 1573194179.2350
MEM 56.878906 1573194179.3354
MEM 56.878906 1573194179.4357
MEM 56.878906 1573194179.5361
MEM 56.878906 1573194179.6365
MEM 56.878906 1573194179.7369
MEM 56.878906 1573194179.8373
MEM 56.878906 1573194179.9379
MEM 56.878906 1573194180.0383
MEM 56.878906 1573194180.1386
MEM 56.878906 1573194180.2390
MEM 56.878906 1573194180.3400
MEM 56.878906 1573194180.4404
MEM 56.878906 1573194180.5408
MEM 56.878906 1573194180.6412
MEM 56.878906 1573194180.7415
MEM 66.980469 1573194180.8421
MEM 84.003906 1573194180.9431
