name,score,event,year
Angela NIKODINOV,149.5,US,2005
Cynthia PHANEUF,144.4,US,2005
Miki ANDO,142.64,US,2005
Alissa CZISNY,141.36,US,2005
Susanna PÖYKIÖ,140.38,US,2005
Elena LIASHENKO,135.8,US,2005
Yukina OTA,130.7,US,2005
Miriam MANZANO,125.3,US,2005
Idora HEGEL,116.98,US,2005
Anne Sophie CALVEZ,102.88,US,2005
Fan ZHANG,85.52,US,2005
Cynthia PHANEUF,159.66,CA,2005
Yoshie ONDA,151.54,CA,2005
Susanna POYKIO,148.94,CA,2005
Fumie SUGURI,148.32,CA,2005
Carolina KOSTNER,138.94,CA,2005
Julia SEBESTYEN,132.74,CA,2005
Mira LEUNG,123.96,CA,2005
Jenna McCORKELL,121.76,CA,2005
Lina JOHANSSON,118.8,CA,2005
Lesley HAWKER,118.1,CA,2005
Yukari NAKANO,113.68,CA,2005
Zuzana BABIAKOVA,103.52,CA,2005
Joannie ROCHETTE,168.72,FR,2005
Carolina KOSTNER,143.5,FR,2005
Julia SEBESTYEN,136.52,FR,2005
Fumie SUGURI,131.3,FR,2005
Amber CORWIN,127.88,FR,2005
Annette DYTRT,123.8,FR,2005
Anne Sophie CALVEZ,118.46,FR,2005
Tatiana BASOVA,110.66,FR,2005
Alisa DREI,107.08,FR,2005
Valentina MARCHEI,106.24,FR,2005
Dan FANG,98.9,FR,2005
Irina SLUTSKAYA,183.02,RU,2005
Shizuka ARAKAWA,155.52,RU,2005
Julia SEBESTYEN,155.06,RU,2005
Elena SOKOLOVA,147.94,RU,2005
Annette DYTRT,136.2,RU,2005
Galina MANIACHENKO,136.16,RU,2005
Carolina KOSTNER,128.92,RU,2005
Yan LIU,119.6,RU,2005
Daria TIMOSHENKO,116.74,RU,2005
Jennifer KIRK,114.54,RU,2005
Tatiana BASOVA,108.26,RU,2005
Elina KETTUNEN,106.74,RU,2005
Irina SLUTSKAYA,177.8,CN,2005
Viktoria VOLCHKOVA,154.16,CN,2005
Joannie ROCHETTE,152.12,CN,2005
Miki ANDO,150.32,CN,2005
Elina KETTUNEN,138.4,CN,2005
Jenna McCORKELL,131.08,CN,2005
Mira LEUNG,128.9,CN,2005
Angela NIKODINOV,124.5,CN,2005
Dan FANG,121.2,CN,2005
Yan LIU,120.24,CN,2005
Yukari NAKANO,116.94,CN,2005
Shizuka ARAKAWA,179.06,JP,2005
Miki ANDO,170.36,JP,2005
Elena SOKOLOVA,148.76,JP,2005
Yoshie ONDA,146.68,JP,2005
Viktoria VOLCHKOVA,141.72,JP,2005
Elena LIASHENKO,138.32,JP,2005
Miriam MANZANO,128.42,JP,2005
Amber CORWIN,127.24,JP,2005
Alisa DREI,126.6,JP,2005
Idora HEGEL,111.22,JP,2005
Valentina MARCHEI,95.18,JP,2005
Irina SLUTSKAYA,180.88,FN,2005
Shizuka ARAKAWA,160.24,FN,2005
Joannie ROCHETTE,156.68,FN,2005
Miki ANDO,151.1,FN,2005
Yoshie ONDA,138.22,FN,2005
Cynthia PHANEUF,134.06,FN,2005
SLUTSKAYA Irina,168.71,EU,2005
POYKIO Susanna,158.93,EU,2005
LIASHENKO Elena,158.02,EU,2005
SEBESTYEN Julia,157.13,EU,2005
SOKOLOVA Elena,150.88,EU,2005
MANIACHENKO Galina,145.86,EU,2005
KOSTNER Carolina,142.71,EU,2005
TIMOSHENKO Daria,132.19,EU,2005
HEGEL Idora,132.01,EU,2005
MEIER Sarah,129.63,EU,2005
KETTUNEN Elina,128.58,EU,2005
DYTRT Annette,127.13,EU,2005
KORPI Kiira,125.46,EU,2005
MAXWELL Fleur,123.24,EU,2005
LUCA Roxana,121.22,EU,2005
McCORKELL Jenna,120.91,EU,2005
JOHANSSON Lina,110.04,EU,2005
POTH Diana,108.89,EU,2005
KARADEMIR Tugba,106.98,EU,2005
VENHUIZEN Karen,105.45,EU,2005
DIDIER Candice,102.87,EU,2005
RADEVA Sonia,101.84,EU,2005
KREUZER Andrea,92.82,EU,2005
PADAR Bianka,92.18,EU,2005
Fumie SUGURI,178.66,4C,2005
Yoshie ONDA,166.8,4C,2005
Jennifer KIRK,148.06,4C,2005
Joanne CARTER,134.09,4C,2005
Lesley HAWKER,133.2,4C,2005
Amber CORWIN,132.36,4C,2005
Beatrisa LIANG,130.78,4C,2005
Yan LIU,128.5,4C,2005
Miriam MANZANO,122.72,4C,2005
Ji Eun CHOI,122.68,4C,2005
Yukari NAKANO,121.74,4C,2005
Dan FANG,120.56,4C,2005
Vicky BOISSONNEAULT,119.06,4C,2005
Chae-Hwa KIM,117.84,4C,2005
Na HOU,112.26,4C,2005
Michelle CANTU,93.99,4C,2005
Yea-Ji SHIN,91.92,4C,2005
Shirene HUMAN,88.0,4C,2005
Diane CHEN,86.02,4C,2005
Jenna-Anne BUYS,82.38,4C,2005
Sarah-Yvonne PRYTULA,82.16,4C,2005
Ana Cecilia CANTU,81.88,4C,2005
Gladys OROZCO,79.03,4C,2005
Shirley Hsin Hui TSAI,66.28,4C,2005
Irina SLUTSKAYA,222.71,WR,2005
Sasha COHEN,214.39,WR,2005
Carolina KOSTNER,200.56,WR,2005
Michelle KWAN,200.19,WR,2005
Fumie SUGURI,196.01,WR,2005
Miki ANDO,193.14,WR,2005
Elena SOKOLOVA,189.48,WR,2005
Susanna POYKIO,187.67,WR,2005
Shizuka ARAKAWA,185.73,WR,2005
Elena LIASHENKO,174.18,WR,2005
Joannie ROCHETTE,172.99,WR,2005
Julia SEBESTYEN,167.56,WR,2005
Idora HEGEL,164.97,WR,2005
Sarah MEIER,164.68,WR,2005
Annette DYTRT,163.49,WR,2005
Joanne CARTER,163.38,WR,2005
Jennifer KIRK,156.81,WR,2005
Viktoria PAVUK,148.46,WR,2005
Lina JOHANSSON,145.94,WR,2005
Cynthia PHANEUF,143.44,WR,2005
Yan LIU,142.33,WR,2005
Jenna McCORKELL,142.0,WR,2005
Candice DIDIER,129.68,WR,2005
Karen VENHUIZEN,125.58,WR,2005
