name,score,event,year
Brian JOUBERT,193.46,US,2005
Ryan JAHNKE,186.71,US,2005
Michael WEISS,179.56,US,2005
Roman SEROV,174.42,US,2005
Evan LYSACEK,162.51,US,2005
Lun SONG,161.46,US,2005
Nicholas YOUNG,160.82,US,2005
Ben FERREIRA,157.41,US,2005
Stefan LINDEMANN,156.73,US,2005
Vakhtang MURVANIDZE,143.1,US,2005
Alexander SHUBIN,142.42,US,2005
Emanuel SANDHU,204.17,CA,2005
Ben FERREIRA,200.46,CA,2005
Jeffrey BUTTLE,191.85,CA,2005
Ryan JAHNKE,190.55,CA,2005
Kevin VAN DER PERREN,182.46,CA,2005
Stefan LINDEMANN,176.59,CA,2005
Takeshi HONDA,166.09,CA,2005
Andrei LEZIN,155.23,CA,2005
Xiaodong MA,153.57,CA,2005
Frederic DAMBIER,148.01,CA,2005
Vakhtang MURVANIDZE,135.67,CA,2005
Gheorghe CHIPER,124.37,CA,2005
Johnny WEIR,208.1,FR,2005
Brian JOUBERT,199.04,FR,2005
Emanuel SANDHU,168.8,FR,2005
Xiaodong MA,162.32,FR,2005
Gheorghe CHIPER,158.99,FR,2005
Ivan DINEV,152.72,FR,2005
Silvio SMALUN,148.05,FR,2005
Alban PREAUBERT,146.0,FR,2005
Samuel CONTESTI,143.72,FR,2005
Gregor URBAS,137.38,FR,2005
Daisuke TAKAHASHI,135.7,FR,2005
Evgeni PLUSHENKO,233.45,RU,2005
Johnny WEIR,207.99,RU,2005
Min ZHANG,186.04,RU,2005
Shawn SAWYER,176.74,RU,2005
Evan LYSACEK,172.45,RU,2005
Andrei LEZIN,167.75,RU,2005
Andrei GRIAZEV,166.56,RU,2005
Sergei DAVYDOV,158.85,RU,2005
Anton KOVALEVSKI,146.11,RU,2005
Aidas REKLYS,127.03,RU,2005
Jeffrey BUTTLE,211.2,CN,2005
Chengjiang LI,197.15,CN,2005
Stefan LINDEMANN,188.8,CN,2005
Min ZHANG,187.3,CN,2005
Lun SONG,179.64,CN,2005
Scott SMITH,168.25,CN,2005
Ivan DINEV,159.59,CN,2005
Matthew SAVOIE,150.2,CN,2005
Silvio SMALUN,144.61,CN,2005
Marc Andre CRAIG,142.67,CN,2005
Johnny WEIR,220.25,JP,2005
Timothy GOEBEL,208.28,JP,2005
Frederic DAMBIER,197.37,JP,2005
Michael WEISS,193.0,JP,2005
Chengjiang LI,192.04,JP,2005
Nicholas YOUNG,183.64,JP,2005
Takeshi HONDA,182.84,JP,2005
Kensuke NAKANIWA,181.27,JP,2005
Shawn SAWYER,167.99,JP,2005
Alban PREAUBERT,153.94,JP,2005
Alexander SHUBIN,151.92,JP,2005
Hirokazu KOBAYASHI,135.19,JP,2005
Evgeni PLUSHENKO,251.75,FN,2005
Jeffrey BUTTLE,216.65,FN,2005
Chengjiang LI,201.07,FN,2005
Emanuel SANDHU,195.9,FN,2005
Brian JOUBERT,193.64,FN,2005
Ryan JAHNKE,172.06,FN,2005
PLUSHENKO Evgeni,227.14,EU,2005
JOUBERT Brian,224.43,EU,2005
LINDEMANN Stefan,200.54,EU,2005
LAMBIEL Stephane,196.47,EU,2005
GRIAZEV Andrei,196.31,EU,2005
VAN DER PERREN Kevin,195.47,EU,2005
DAMBIER Frederic,183.6,EU,2005
CHIPER Gheorghe,180.86,EU,2005
CONTESTI Samuel,171.59,EU,2005
BERNTSSON Kristoffer,166.7,EU,2005
OTHMAN Jamal,163.48,EU,2005
DAVYDOV Sergei,163.23,EU,2005
SEROV Roman,162.76,EU,2005
LEZIN Andrei,157.39,EU,2005
MURVANIDZE Vakhtang,155.6,EU,2005
SMALUN Silvio,153.3,EU,2005
ZIVANOVIC Trifun,148.54,EU,2005
PFEIFER Viktor,148.06,EU,2005
HAMER John,144.1,EU,2005
LIEBERS Martin,141.43,EU,2005
RAKOWSKI Lukas,140.58,EU,2005
DANILCHENKO Vitali,138.53,EU,2005
SVIATKO Juraj,134.79,EU,2005
NURMENKARI Ari-Pekka,127.92,EU,2005
BACCHINI Paolo,116.97,EU,2005
Evan LYSACEK,196.39,4C,2005
Chengjiang LI,194.09,4C,2005
Daisuke TAKAHASHI,192.29,4C,2005
Ben FERREIRA,188.36,4C,2005
Matthew SAVOIE,185.38,4C,2005
Shawn SAWYER,173.15,4C,2005
Lun SONG,164.08,4C,2005
