name,score,event,year,last_name,first_name,full_name
Angela NIKODINOV,149.5,US,2005,NIKODINOV,Angela,"Angela, NIKODINOV"
Cynthia PHANEUF,144.4,US,2005,PHANEUF,Cynthia,"Cynthia, PHANEUF"
Miki ANDO,142.64,US,2005,ANDO,Miki,"Miki, ANDO"
Alissa CZISNY,141.36,US,2005,CZISNY,Alissa,"Alissa, CZISNY"
Susanna PÖYKIÖ,140.38,US,2005,POYKIO,Susanna,"Susanna, POYKIO"
Elena LIASHENKO,135.8,US,2005,LIASHENKO,Elena,"Elena, LIASHENKO"
Yukina OTA,130.7,US,2005,OTA,Yukina,"Yukina, OTA"
Miriam MANZANO,125.3,US,2005,MANZANO,Miriam,"Miriam, MANZANO"
Idora HEGEL,116.98,US,2005,HEGEL,Idora,"Idora, HEGEL"
Anne Sophie CALVEZ,102.88,US,2005,CALVEZ,Anne Sophie,"Anne Sophie, CALVEZ"
Fan ZHANG,85.52,US,2005,ZHANG,Fan,"Fan, ZHANG"
Cynthia PHANEUF,159.66,CA,2005,PHANEUF,Cynthia,"Cynthia, PHANEUF"
Yoshie ONDA,151.54,CA,2005,ONDA,Yoshie,"Yoshie, ONDA"
Susanna POYKIO,148.94,CA,2005,POYKIO,Susanna,"Susanna, POYKIO"
Fumie SUGURI,148.32,CA,2005,SUGURI,Fumie,"Fumie, SUGURI"
Carolina KOSTNER,138.94,CA,2005,KOSTNER,Carolina,"Carolina, KOSTNER"
Julia SEBESTYEN,132.74,CA,2005,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Mira LEUNG,123.96,CA,2005,LEUNG,Mira,"Mira, LEUNG"
Jenna McCORKELL,121.76,CA,2005,MCCORKELL,Jenna,"Jenna, MCCORKELL"
Lina JOHANSSON,118.8,CA,2005,JOHANSSON,Lina,"Lina, JOHANSSON"
Lesley HAWKER,118.1,CA,2005,HAWKER,Lesley,"Lesley, HAWKER"
Yukari NAKANO,113.68,CA,2005,NAKANO,Yukari,"Yukari, NAKANO"
Zuzana BABIAKOVA,103.52,CA,2005,BABIAKOVA,Zuzana,"Zuzana, BABIAKOVA"
Joannie ROCHETTE,168.72,FR,2005,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Carolina KOSTNER,143.5,FR,2005,KOSTNER,Carolina,"Carolina, KOSTNER"
Julia SEBESTYEN,136.52,FR,2005,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Fumie SUGURI,131.3,FR,2005,SUGURI,Fumie,"Fumie, SUGURI"
Amber CORWIN,127.88,FR,2005,CORWIN,Amber,"Amber, CORWIN"
Annette DYTRT,123.8,FR,2005,DYTRT,Annette,"Annette, DYTRT"
Anne Sophie CALVEZ,118.46,FR,2005,CALVEZ,Anne Sophie,"Anne Sophie, CALVEZ"
Tatiana BASOVA,110.66,FR,2005,BASOVA,Tatiana,"Tatiana, BASOVA"
Alisa DREI,107.08,FR,2005,DREI,Alisa,"Alisa, DREI"
Valentina MARCHEI,106.24,FR,2005,MARCHEI,Valentina,"Valentina, MARCHEI"
Dan FANG,98.9,FR,2005,FANG,Dan,"Dan, FANG"
Irina SLUTSKAYA,183.02,RU,2005,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Shizuka ARAKAWA,155.52,RU,2005,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
Julia SEBESTYEN,155.06,RU,2005,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Elena SOKOLOVA,147.94,RU,2005,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Annette DYTRT,136.2,RU,2005,DYTRT,Annette,"Annette, DYTRT"
Galina MANIACHENKO,136.16,RU,2005,MANIACHENKO,Galina,"Galina, MANIACHENKO"
Carolina KOSTNER,128.92,RU,2005,KOSTNER,Carolina,"Carolina, KOSTNER"
Yan LIU,119.6,RU,2005,LIU,Yan,"Yan, LIU"
Daria TIMOSHENKO,116.74,RU,2005,TIMOSHENKO,Daria,"Daria, TIMOSHENKO"
Jennifer KIRK,114.54,RU,2005,KIRK,Jennifer,"Jennifer, KIRK"
Tatiana BASOVA,108.26,RU,2005,BASOVA,Tatiana,"Tatiana, BASOVA"
Elina KETTUNEN,106.74,RU,2005,KETTUNEN,Elina,"Elina, KETTUNEN"
