name,score,event,year,last_name,first_name,full_name
Brian JOUBERT,193.46,US,2005,JOUBERT,Brian,JOUBERT Brian
Ryan JAHNKE,186.71,US,2005,JAHNKE,Ryan,JAHNKE Ryan
Michael WEISS,179.56,US,2005,WEISS,Michael,WEISS Michael
Roman SEROV,174.42,US,2005,SEROV,Roman,SEROV Roman
Evan LYSACEK,162.51,US,2005,LYSACEK,Evan,LYSACEK Evan
Lun SONG,161.46,US,2005,SONG,Lun,SONG Lun
Nicholas YOUNG,160.82,US,2005,YOUNG,Nicholas,YOUNG Nicholas
Ben FERREIRA,157.41,US,2005,FERREIRA,Ben,FERREIRA Ben
Stefan LINDEMANN,156.73,US,2005,LINDEMANN,Stefan,LINDEMANN Stefan
Vakhtang MURVANIDZE,143.1,US,2005,MURVANIDZE,Vakhtang,MURVANIDZE Vakhtang
Alexander SHUBIN,142.42,US,2005,SHUBIN,Alexander,SHUBIN Alexander
Emanuel SANDHU,204.17,CA,2005,SANDHU,Emanuel,SANDHU Emanuel
Ben FERREIRA,200.46,CA,2005,FERREIRA,Ben,FERREIRA Ben
Jeffrey BUTTLE,191.85,CA,2005,BUTTLE,Jeffrey,BUTTLE Jeffrey
Ryan JAHNKE,190.55,CA,2005,JAHNKE,Ryan,JAHNKE Ryan
Kevin VAN DER PERREN,182.46,CA,2005,VAN DER PERREN,Kevin,VAN DER PERREN Kevin
Stefan LINDEMANN,176.59,CA,2005,LINDEMANN,Stefan,LINDEMANN Stefan
Takeshi HONDA,166.09,CA,2005,HONDA,Takeshi,HONDA Takeshi
Andrei LEZIN,155.23,CA,2005,LEZIN,Andrei,LEZIN Andrei
Xiaodong MA,153.57,CA,2005,MA,Xiaodong,MA Xiaodong
Frederic DAMBIER,148.01,CA,2005,DAMBIER,Frederic,DAMBIER Frederic
Vakhtang MURVANIDZE,135.67,CA,2005,MURVANIDZE,Vakhtang,MURVANIDZE Vakhtang
Gheorghe CHIPER,124.37,CA,2005,CHIPER,Gheorghe,CHIPER Gheorghe
Johnny WEIR,208.1,FR,2005,WEIR,Johnny,WEIR Johnny
Brian JOUBERT,199.04,FR,2005,JOUBERT,Brian,JOUBERT Brian
Emanuel SANDHU,168.8,FR,2005,SANDHU,Emanuel,SANDHU Emanuel
Xiaodong MA,162.32,FR,2005,MA,Xiaodong,MA Xiaodong
Gheorghe CHIPER,158.99,FR,2005,CHIPER,Gheorghe,CHIPER Gheorghe
Ivan DINEV,152.72,FR,2005,DINEV,Ivan,DINEV Ivan
Silvio SMALUN,148.05,FR,2005,SMALUN,Silvio,SMALUN Silvio
Alban PREAUBERT,146.0,FR,2005,PREAUBERT,Alban,PREAUBERT Alban
