name,year,event,score
NIKODINOV Angela,2005,US,149.5
PHANEUF Cynthia,2005,US,144.4
ANDO Miki,2005,US,142.64
CZISNY Alissa,2005,US,141.36
POYKIO Susanna,2005,US,140.38
LIASHENKO Elena,2005,US,135.8
OTA Yukina,2005,US,130.7
MANZANO Miriam,2005,US,125.3
HEGEL Idora,2005,US,116.98
CALVEZ Anne Sophie,2005,US,102.88
ZHANG Fan,2005,US,85.52
PHANEUF Cynthia,2005,CA,159.66
ONDA Yoshie,2005,CA,151.54
POYKIO Susanna,2005,CA,148.94
SUGURI Fumie,2005,CA,148.32
KOSTNER Carolina,2005,CA,138.94
SEBESTYEN Julia,2005,CA,132.74
LEUNG Mira,2005,CA,123.96
MCCORKELL Jenna,2005,CA,121.76
JOHANSSON Lina,2005,CA,118.8
HAWKER Lesley,2005,CA,118.1
NAKANO Yukari,2005,CA,113.68
BABIAKOVA Zuzana,2005,CA,103.52
ROCHETTE Joannie,2005,FR,168.72
KOSTNER Carolina,2005,FR,143.5
SEBESTYEN Julia,2005,FR,136.52
SUGURI Fumie,2005,FR,131.3
CORWIN Amber,2005,FR,127.88
DYTRT Annette,2005,FR,123.8
CALVEZ Anne Sophie,2005,FR,118.46
BASOVA Tatiana,2005,FR,110.66
DREI Alisa,2005,FR,107.08
MARCHEI Valentina,2005,FR,106.24
FANG Dan,2005,FR,98.9
SLUTSKAYA Irina,2005,RU,183.02
ARAKAWA Shizuka,2005,RU,155.52
SEBESTYEN Julia,2005,RU,155.06
SOKOLOVA Elena,2005,RU,147.94
DYTRT Annette,2005,RU,136.2
MANIACHENKO Galina,2005,RU,136.16
KOSTNER Carolina,2005,RU,128.92
LIU Yan,2005,RU,119.6
TIMOSHENKO Daria,2005,RU,116.74
KIRK Jennifer,2005,RU,114.54
BASOVA Tatiana,2005,RU,108.26
KETTUNEN Elina,2005,RU,106.74
SLUTSKAYA Irina,2005,CN,177.8
VOLCHKOVA Viktoria,2005,CN,154.16
ROCHETTE Joannie,2005,CN,152.12
ANDO Miki,2005,CN,150.32
KETTUNEN Elina,2005,CN,138.4
MCCORKELL Jenna,2005,CN,131.08
LEUNG Mira,2005,CN,128.9
NIKODINOV Angela,2005,CN,124.5
FANG Dan,2005,CN,121.2
LIU Yan,2005,CN,120.24
NAKANO Yukari,2005,CN,116.94
ARAKAWA Shizuka,2005,JP,179.06
ANDO Miki,2005,JP,170.36
SOKOLOVA Elena,2005,JP,148.76
ONDA Yoshie,2005,JP,146.68
VOLCHKOVA Viktoria,2005,JP,141.72
LIASHENKO Elena,2005,JP,138.32
MANZANO Miriam,2005,JP,128.42
CORWIN Amber,2005,JP,127.24
DREI Alisa,2005,JP,126.6
HEGEL Idora,2005,JP,111.22
MARCHEI Valentina,2005,JP,95.18
SLUTSKAYA Irina,2005,FN,180.88
ARAKAWA Shizuka,2005,FN,160.24
ROCHETTE Joannie,2005,FN,156.68
ANDO Miki,2005,FN,151.1
ONDA Yoshie,2005,FN,138.22
PHANEUF Cynthia,2005,FN,134.06
SLUTSKAYA Irina,2005,EU,168.71
POYKIO Susanna,2005,EU,158.93
LIASHENKO Elena,2005,EU,158.02
SEBESTYEN Julia,2005,EU,157.13
SOKOLOVA Elena,2005,EU,150.88
MANIACHENKO Galina,2005,EU,145.86
KOSTNER Carolina,2005,EU,142.71
TIMOSHENKO Daria,2005,EU,132.19
HEGEL Idora,2005,EU,132.01
MEIER Sarah,2005,EU,129.63
KETTUNEN Elina,2005,EU,128.58
DYTRT Annette,2005,EU,127.13
KORPI Kiira,2005,EU,125.46
MAXWELL Fleur,2005,EU,123.24
LUCA Roxana,2005,EU,121.22
MCCORKELL Jenna,2005,EU,120.91
JOHANSSON Lina,2005,EU,110.04
POTH Diana,2005,EU,108.89
KARADEMIR Tugba,2005,EU,106.98
VENHUIZEN Karen,2005,EU,105.45
DIDIER Candice,2005,EU,102.87
RADEVA Sonia,2005,EU,101.84
KREUZER Andrea,2005,EU,92.82
PADAR Bianka,2005,EU,92.18
SUGURI Fumie,2005,4C,178.66
ONDA Yoshie,2005,4C,166.8
KIRK Jennifer,2005,4C,148.06
CARTER Joanne,2005,4C,134.09
HAWKER Lesley,2005,4C,133.2
CORWIN Amber,2005,4C,132.36
LIANG Beatrisa,2005,4C,130.78
LIU Yan,2005,4C,128.5
MANZANO Miriam,2005,4C,122.72
CHOI Ji Eun,2005,4C,122.68
NAKANO Yukari,2005,4C,121.74
FANG Dan,2005,4C,120.56
BOISSONNEAULT Vicky,2005,4C,119.06
KIM Chae-Hwa,2005,4C,117.84
HOU Na,2005,4C,112.26
CANTU Michele,2005,4C,93.99
SHIN Yea-Ji,2005,4C,91.92
HUMAN Shirene,2005,4C,88.0
CHEN Diane,2005,4C,86.02
BUYS Jenna-Anne,2005,4C,82.38
PRYTULA Sarah-Yvonne,2005,4C,82.16
CANTU Ana Cecilia,2005,4C,81.88
OROZCO Gladys,2005,4C,79.03
TSAI Shirley Hsin Hui,2005,4C,66.28
SLUTSKAYA Irina,2005,WR,222.71
COHEN Sasha,2005,WR,214.39
KOSTNER Carolina,2005,WR,200.56
KWAN Michele,2005,WR,200.19
SUGURI Fumie,2005,WR,196.01
ANDO Miki,2005,WR,193.14
SOKOLOVA Elena,2005,WR,189.48
POYKIO Susanna,2005,WR,187.67
ARAKAWA Shizuka,2005,WR,185.73
LIASHENKO Elena,2005,WR,174.18
ROCHETTE Joannie,2005,WR,172.99
SEBESTYEN Julia,2005,WR,167.56
HEGEL Idora,2005,WR,164.97
MEIER Sarah,2005,WR,164.68
DYTRT Annette,2005,WR,163.49
CARTER Joanne,2005,WR,163.38
KIRK Jennifer,2005,WR,156.81
PAVUK Viktoria,2005,WR,148.46
JOHANSSON Lina,2005,WR,145.94
