name,year,event,score
JOUBERT Brian,2005,US,193.46
JAHNKE Ryan,2005,US,186.71
WEISS Michael,2005,US,179.56
SEROV Roman,2005,US,174.42
LYSACEK Evan,2005,US,162.51
SONG Lun,2005,US,161.46
YOUNG Nicholas,2005,US,160.82
FERREIRA Ben,2005,US,157.41
LINDEMANN Stefan,2005,US,156.73
MURVANIDZE Vakhtang,2005,US,143.1
SHUBIN Alexander,2005,US,142.42
SANDHU Emanuel,2005,CA,204.17
FERREIRA Ben,2005,CA,200.46
BUTTLE Jeffrey,2005,CA,191.85
JAHNKE Ryan,2005,CA,190.55
VAN DER PERREN Kevin,2005,CA,182.46
LINDEMANN Stefan,2005,CA,176.59
HONDA Takeshi,2005,CA,166.09
LEZIN Andrei,2005,CA,155.23
MA Xiaodong,2005,CA,153.57
DAMBIER Frederic,2005,CA,148.01
MURVANIDZE Vakhtang,2005,CA,135.67
CHIPER Gheorghe,2005,CA,124.37
WEIR Johnny,2005,FR,208.1
JOUBERT Brian,2005,FR,199.04
SANDHU Emanuel,2005,FR,168.8
MA Xiaodong,2005,FR,162.32
CHIPER Gheorghe,2005,FR,158.99
DINEV Ivan,2005,FR,152.72
SMALUN Silvio,2005,FR,148.05
PREAUBERT Alban,2005,FR,146.0
CONTESTI Samuel,2005,FR,143.72
URBAS Gregor,2005,FR,137.38
TAKAHASHI Daisuke,2005,FR,135.7
PLUSHENKO Evgeni,2005,RU,233.45
WEIR Johnny,2005,RU,207.99
ZHANG Min,2005,RU,186.04
SAWYER Shawn,2005,RU,176.74
LYSACEK Evan,2005,RU,172.45
LEZIN Andrei,2005,RU,167.75
GRIAZEV Andrei,2005,RU,166.56
DAVYDOV Sergei,2005,RU,158.85
KOVALEVSKI Anton,2005,RU,146.11
REKLYS Aidas,2005,RU,127.03
BUTTLE Jeffrey,2005,CN,211.2
LI Chengjiang,2005,CN,197.15
LINDEMANN Stefan,2005,CN,188.8
ZHANG Min,2005,CN,187.3
SONG Lun,2005,CN,179.64
SMITH Scott,2005,CN,168.25
DINEV Ivan,2005,CN,159.59
SAVOIE Matthew,2005,CN,150.2
SMALUN Silvio,2005,CN,144.61
CRAIG Marc Andre,2005,CN,142.67
WEIR Johnny,2005,JP,220.25
GOEBEL Timothy,2005,JP,208.28
DAMBIER Frederic,2005,JP,197.37
WEISS Michael,2005,JP,193.0
LI Chengjiang,2005,JP,192.04
YOUNG Nicholas,2005,JP,183.64
HONDA Takeshi,2005,JP,182.84
NAKANIWA Kensuke,2005,JP,181.27
SAWYER Shawn,2005,JP,167.99
PREAUBERT Alban,2005,JP,153.94
SHUBIN Alexander,2005,JP,151.92
KOBAYASHI Hirokazu,2005,JP,135.19
PLUSHENKO Evgeni,2005,FN,251.75
BUTTLE Jeffrey,2005,FN,216.65
LI Chengjiang,2005,FN,201.07
SANDHU Emanuel,2005,FN,195.9
JOUBERT Brian,2005,FN,193.64
JAHNKE Ryan,2005,FN,172.06
PLUSHENKO Evgeni,2005,EU,227.14
JOUBERT Brian,2005,EU,224.43
LINDEMANN Stefan,2005,EU,200.54
LAMBIEL Stephane,2005,EU,196.47
GRIAZEV Andrei,2005,EU,196.31
VAN DER PERREN Kevin,2005,EU,195.47
DAMBIER Frederic,2005,EU,183.6
CHIPER Gheorghe,2005,EU,180.86
CONTESTI Samuel,2005,EU,171.59
BERNTSSON Kristoffer,2005,EU,166.7
OTHMAN Jamal,2005,EU,163.48
DAVYDOV Sergei,2005,EU,163.23
SEROV Roman,2005,EU,162.76
LEZIN Andrei,2005,EU,157.39
MURVANIDZE Vakhtang,2005,EU,155.6
SMALUN Silvio,2005,EU,153.3
ZIVANOVIC Trifun,2005,EU,148.54
PFEIFER Viktor,2005,EU,148.06
HAMER John,2005,EU,144.1
LIEBERS Martin,2005,EU,141.43
RAKOWSKI Lukas,2005,EU,140.58
DANILCHENKO Vitali,2005,EU,138.53
SVIATKO Juraj,2005,EU,134.79
NURMENKARI Ari-Pekka,2005,EU,127.92
BACCHINI Paolo,2005,EU,116.97
LYSACEK Evan,2005,4C,196.39
LI Chengjiang,2005,4C,194.09
TAKAHASHI Daisuke,2005,4C,192.29
FERREIRA Ben,2005,4C,188.36
SAVOIE Matthew,2005,4C,185.38
SAWYER Shawn,2005,4C,173.15
SONG Lun,2005,4C,164.08
NAKANIWA Kensuke,2005,4C,162.61
ZHANG Min,2005,4C,162.53
KISHIMOTO Kazumi,2005,4C,160.41
DELMORE Derrick,2005,4C,153.38
COCKERILL Ricky,2005,4C,127.02
SANTER Bradley,2005,4C,121.57
ECHARDT Gareth,2005,4C,120.77
CARLOW Sean,2005,4C,111.85
LEE Dong-Whun,2005,4C,106.64
BECKINGHAM Stuart,2005,4C,106.2
CONTRERAS Humberto,2005,4C,106.06
PIETERSEN Justin,2005,4C,102.5
MOYRON Miguel Angel,2005,4C,101.58
THODE Tristan,2005,4C,96.85
ALVARADO Adrian,2005,4C,84.32
CHOW Edward Ka-Yin,2005,4C,83.1
LAMBIEL Stephane,2005,WR,262.46
BUTTLE Jeffrey,2005,WR,245.69
LYSACEK Evan,2005,WR,239.29
WEIR Johnny,2005,WR,236.06
LI Chengjiang,2005,WR,235.67
JOUBERT Brian,2005,WR,235.29
SANDHU Emanuel,2005,WR,231.16
VAN DER PERREN Kevin,2005,WR,229.94
DAMBIER Frederic,2005,WR,226.88
GOEBEL Timothy,2005,WR,222.57
GRIAZEV Andrei,2005,WR,216.62
LINDEMANN Stefan,2005,WR,213.54
DINEV Ivan,2005,WR,213.09
BERNTSSON Kristoffer,2005,WR,211.97
TAKAHASHI Daisuke,2005,WR,210.35
ZHANG Min,2005,WR,208.1
DOBRIN Sergei,2005,WR,207.2
CHIPER Gheorghe,2005,WR,199.18
SEROV Roman,2005,WR,191.21
ZELENKA Karel,2005,WR,189.67
OTHMAN Jamal,2005,WR,186.48
DAVYDOV Sergei,2005,WR,178.73
PFEIFER Viktor,2005,WR,178.06
TAKAHASHI Daisuke,2006,US,218.54
LYSACEK Evan,2006,US,193.71
JOUBERT Brian,2006,US,190.28
VAN DER PERREN Kevin,2006,US,185.09
PONSERO Yannick,2006,US,160.53
GOEBEL Timothy,2006,US,154.68
PHAN Dennis,2006,US,151.9
DAVYDOV Sergei,2006,US,147.13
MABEE Christopher,2006,US,147.0
SONG Lun,2006,US,145.92
BERNTSSON Kristoffer,2006,US,143.39
SMALUN Silvio,2006,US,137.04
SANDHU Emanuel,2006,CA,201.85
BUTTLE Jeffrey,2006,CA,201.19
ODA Nobunari,2006,CA,193.08
HONDA Takeshi,2006,CA,191.8
SAVOIE Matthew,2006,CA,181.73
SAWYER Shawn,2006,CA,180.76
WEIR Johnny,2006,CA,177.59
ZHANG Min,2006,CA,161.11
GRIAZEV Andrei,2006,CA,153.95
ZELENKA Karel,2006,CA,153.25
OTHMAN Jamal,2006,CA,131.64
BUTTLE Jeffrey,2006,FR,215.48
JOUBERT Brian,2006,FR,210.41
CHIPER Gheorghe,2006,FR,191.95
GOEBEL Timothy,2006,FR,182.41
CONTESTI Samuel,2006,FR,175.99
WEISS Michael,2006,FR,169.6
DOBRIN Sergei,2006,FR,168.88
DAMBIER Frederic,2006,FR,165.98
MA Xiaodong,2006,FR,165.57
KOVALEVSKI Anton,2006,FR,156.16
LEZIN Andrei,2006,FR,141.62
PLUSHENKO Evgeni,2006,RU,241.8
LAMBIEL Stephane,2006,RU,225.55
WEIR Johnny,2006,RU,206.79
LINDEMANN Stefan,2006,RU,194.63
DAMBIER Frederic,2006,RU,193.65
PREAUBERT Alban,2006,RU,186.5
SAWYER Shawn,2006,RU,185.65
NANRI Yasuharu,2006,RU,168.79
KLIMKIN Ilia,2006,RU,165.35
DOBRIN Sergei,2006,RU,159.43
BERNTSSON Kristoffer,2006,RU,156.17
GAO Song,2006,RU,140.31
SANDHU Emanuel,2006,CN,212.66
LAMBIEL Stephane,2006,CN,203.6
GRIAZEV Andrei,2006,CN,200.6
FERREIRA Ben,2006,CN,185.33
ZHANG Min,2006,CN,178.31
JAHNKE Ryan,2006,CN,177.02
SAVOIE Matthew,2006,CN,174.37
LI Chengjiang,2006,CN,173.69
PREAUBERT Alban,2006,CN,166.77
WU Jialiang,2006,CN,158.86
KISHIMOTO Kazumi,2006,CN,157.74
SEROV Roman,2006,CN,155.9
ODA Nobunari,2006,JP,216.39
LYSACEK Evan,2006,JP,213.55
TAKAHASHI Daisuke,2006,JP,205.3
MABEE Christopher,2006,JP,171.65
VAN DER PERREN Kevin,2006,JP,170.55
FERREIRA Ben,2006,JP,169.72
PONSERO Yannick,2006,JP,166.2
DINEV Ivan,2006,JP,165.71
HONDA Takeshi,2006,JP,165.54
SEROV Roman,2006,JP,164.91
LINDEMANN Stefan,2006,JP,154.92
LAMBIEL Stephane,2006,FN,230.1
BUTTLE Jeffrey,2006,FN,214.34
TAKAHASHI Daisuke,2006,FN,212.52
ODA Nobunari,2006,FN,197.05
SANDHU Emanuel,2006,FN,189.46
PLUSHENKO Evgeni,2006,EU,245.33
LAMBIEL Stephane,2006,EU,228.87
JOUBERT Brian,2006,EU,222.95
DAMBIER Frederic,2006,EU,200.16
KLIMKIN Ilia,2006,EU,197.42
PREAUBERT Alban,2006,EU,190.18
VAN DER PERREN Kevin,2006,EU,182.32
SMALUN Silvio,2006,EU,181.73
CHIPER Gheorghe,2006,EU,181.51
VERNER Tomas,2006,EU,178.26
DINEV Ivan,2006,EU,177.18
LINDEMANN Stefan,2006,EU,176.7
DAVYDOV Sergei,2006,EU,170.51
BERNTSSON Kristoffer,2006,EU,167.37
DOBRIN Sergei,2006,EU,165.63
KOVALEVSKI Anton,2006,EU,164.49
URBAS Gregor,2006,EU,162.95
PFEIFER Viktor,2006,EU,159.27
